epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,13411.6,1.20709,0.89016,1.20868,0.78141,0.70804,0.77937,0.4595,1.2284,0.95564,1.16047,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13585.1,1.22321,0.9073,1.21647,0.78239,0.70665,0.77887,0.45978,1.22783,0.95383,1.16018,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13759.3,1.22131,0.90456,1.20567,0.784,0.70921,0.77967,0.46012,1.22759,0.9535,1.16032,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13934.9,1.19904,0.8739,1.20555,0.78468,0.70969,0.77966,0.45987,1.2276,0.9499,1.1607,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14111.1,1.21327,0.88543,1.20402,0.78759,0.70718,0.77936,0.46016,1.22809,0.94518,1.1613,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14288.4,1.1961,0.86794,1.19543,0.78816,0.71045,0.77917,0.46079,1.22807,0.94091,1.16146,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14465.6,1.18352,0.85581,1.19486,0.79175,0.70831,0.77972,0.46091,1.22829,0.93908,1.16167,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14643,1.19949,0.8593,1.19975,0.7915,0.70801,0.78016,0.46102,1.22743,0.93689,1.16166,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14819.2,1.19561,0.84191,1.19487,0.79096,0.70745,0.7793,0.46074,1.22695,0.93247,1.16155,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14997.7,1.18416,0.84741,1.18547,0.78933,0.7078,0.77925,0.46123,1.22688,0.92953,1.16193,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15175.4,1.18237,0.85693,1.18336,0.79041,0.70757,0.77938,0.46105,1.22649,0.92822,1.16182,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15353.1,1.17164,0.83129,1.18276,0.79304,0.70669,0.77953,0.46117,1.22634,0.92735,1.16169,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15531.2,1.18419,0.84458,1.18635,0.7957,0.7064,0.77874,0.46136,1.22627,0.92387,1.16176,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15709.9,1.16483,0.82901,1.17531,0.79711,0.70689,0.77928,0.46145,1.22631,0.92202,1.16226,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15889.2,1.17906,0.83254,1.18249,0.79447,0.70789,0.77917,0.46137,1.22628,0.92079,1.16265,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16068.1,1.15083,0.80332,1.1708,0.79581,0.70706,0.77953,0.46136,1.22615,0.91935,1.16265,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
